[2024-11-30 09:44:32,027] A new study created in memory with name: no-name-af2c9794-db39-493d-9df3-a60d52d9e3f4
[2024-11-30 12:11:17,100] SGD_Momentum, Trial 48 finished with value: 0.4545102681323981
[2024-11-30 12:14:26,571] Adam, Trial 49 finished with value: 2.0264122744274746
[2024-11-30 12:17:12,690] Adam, Trial 50 finished with value: 0.3470787964997035
[2024-11-30 12:19:53,261] Adam, Trial 51 finished with value: 2.3021456956863404
[2024-11-30 12:40:23,405] Adam, Trial 52 finished with value: 0.07341132035071496
[2024-11-30 12:43:14,644] Adam, Trial 53 finished with value: 2.305674558877945
[2024-11-30 12:46:05,611] Adam, Trial 54 finished with value: 0.09016235875554628
[2024-11-30 12:48:57,885] Adam, Trial 55 finished with value: 2.3030604481697083
[2024-11-30 12:52:23,693] Adam, Trial 56 finished with value: 2.311094335689666
[2024-11-30 12:55:30,586] SGD_Momentum, Trial 57 finished with value: 0.062693273466489
[2024-11-30 12:59:23,400] Adam, Trial 58 finished with value: 2.302804113193682
[2024-11-30 13:02:45,890] Adam, Trial 59 finished with value: 2.382305532504039
[2024-11-30 13:20:55,191] Adam, Trial 60 finished with value: 2.306210478399969
[2024-11-30 13:23:57,595] Adam, Trial 61 finished with value: 2.3107711038771708
[2024-11-30 13:27:04,425] Adam, Trial 62 finished with value: 2.304671487990458
[2024-11-30 13:30:13,841] Adam, Trial 63 finished with value: 1.8423427388926221
[2024-11-30 13:32:39,031] Adam, Trial 64 finished with value: 2.31472963436394
[2024-11-30 13:34:55,447] SGD, Trial 65 finished with value: 0.07938273875269881
[2024-11-30 13:37:23,967] Adam, Trial 66 finished with value: 1.9807407066320917
[2024-11-30 13:40:02,707] Adam, Trial 67 finished with value: 1.8905022607487478
[2024-11-30 13:42:39,971] Adam, Trial 68 finished with value: 1.9636067713901495
[2024-11-30 13:45:27,714] Adam, Trial 69 finished with value: 0.2610224584090838
[2024-11-30 13:47:47,866] SGD, Trial 70 finished with value: 0.09142431012381316
[2024-11-30 13:50:37,086] Adam, Trial 71 finished with value: 2.309432385074105
[2024-11-30 13:53:34,907] Adam, Trial 72 finished with value: 2.307639750705403
[2024-11-30 13:56:17,014] Adam, Trial 73 finished with value: 2.303058118577216
[2024-11-30 13:59:00,989] Adam, Trial 74 finished with value: 2.30636233736755
[2024-11-30 14:01:43,394] Adam, Trial 75 finished with value: 0.6559529933769992
[2024-11-30 14:04:18,384] Adam, Trial 76 finished with value: 0.10827223565481355
[2024-11-30 14:07:11,471] Adam, Trial 77 finished with value: 2.3079185015077046
[2024-11-30 14:09:57,689] SGD_Momentum, Trial 78 finished with value: 0.11004181075884978
[2024-11-30 14:13:11,221] Adam, Trial 79 finished with value: 2.3035893242829926
[2024-11-30 14:15:52,242] Adam, Trial 80 finished with value: 2.2703050367391793
[2024-11-30 14:18:38,342] Adam, Trial 81 finished with value: 2.3080965105895026
[2024-11-30 14:22:56,462] Adam, Trial 82 finished with value: 1.860061889962305
[2024-11-30 14:43:28,765] Adam, Trial 83 finished with value: 2.3118731823696455
[2024-11-30 15:19:58,297] Adam, Trial 84 finished with value: 1.9372211702310356
[2024-11-30 15:56:26,819] Adam, Trial 85 finished with value: 2.3080685746138263
[2024-11-30 16:39:25,398] Adam, Trial 86 finished with value: 0.8396726091196582
[2024-11-30 17:13:52,757] SGD, Trial 87 finished with value: 0.06348335395967783
[2024-11-30 17:17:45,355] Adam, Trial 88 finished with value: 2.322374896638712
[2024-11-30 17:40:16,824] Adam, Trial 89 finished with value: 2.306306702316187
[2024-11-30 18:14:51,274] Adam, Trial 90 finished with value: 2.313531807273816
[2024-11-30 18:52:46,777] Adam, Trial 91 finished with value: 2.307214056610302
[2024-11-30 19:40:43,192] Adam, Trial 92 finished with value: 2.3060083510769402
[2024-11-30 20:15:52,653] Adam, Trial 93 finished with value: 2.3046504494490896
[2024-11-30 20:35:43,703] Adam, Trial 94 finished with value: 2.3116736715766275
[2024-11-30 21:12:23,276] Adam, Trial 95 finished with value: 0.09191625547130318
[2024-11-30 21:45:06,413] SGD_Momentum, Trial 96 finished with value: 2.2079512951480353
[2024-11-30 22:28:10,431] Adam, Trial 97 finished with value: 2.3067015978940733
[2024-11-30 23:00:05,912] Adam, Trial 98 finished with value: 0.07332975812370345
[2024-11-30 23:03:38,982] Adam, Trial 99 finished with value: 2.306291341781616
[2024-11-30 23:03:38,986] Best parameters: {'optimizer': 'Adam', 'adam_lr': 0.04494260367351622, 'input_size': 784, 'num_layers': 3, 'hidden_size_0': 256, 'hidden_size_1': 256, 'hidden_size_2': 256, 'num_classes': 10, 'batch_size': 64, 'dropout_rate': 0.1} with optimizer: Adam
[2024-[2024-11-30 09:44:32,027] A new study created in memory with name: no-name-af2c9794-db39-493d-9df3-a60d52d9e3f4
[2024-11-30 09:46:27,354] SGD_Momentum, Trial 0 finished with value: 0.22031114120036363
[2024-11-30 09:48:40,632] SGD_Momentum, Trial 1 finished with value: 0.09055254843915464
[2024-11-30 09:51:15,276] SGD, Trial 2 finished with value: 2.2973531644055796
[2024-11-30 09:53:46,477] SGD_Momentum, Trial 3 finished with value: 0.08694479074938996
[2024-11-30 09:56:22,055] SGD_Momentum, Trial 4 finished with value: 2.2948651909828186
[2024-11-30 09:58:55,221] SGD_Momentum, Trial 5 finished with value: 0.6776029938345502
[2024-11-30 10:02:15,107] Adam, Trial 6 finished with value: 0.15482747068339842
[2024-11-30 10:05:16,342] SGD_Momentum, Trial 7 finished with value: 0.07474924549787085
[2024-11-30 10:07:58,162] Adam, Trial 8 finished with value: 0.07552856591578934
[2024-11-30 10:10:31,197] SGD_Momentum, Trial 9 finished with value: 0.9157375141978263
[2024-11-30 10:13:30,617] SGD, Trial 10 finished with value: 2.295880477639693
[2024-11-30 10:16:24,537] SGD, Trial 11 finished with value: 2.2910137961182415
[2024-11-30 10:19:09,036] SGD, Trial 12 finished with value: 2.291948988467832
[2024-11-30 10:21:54,717] SGD, Trial 13 finished with value: 2.2892598351345788
[2024-11-30 10:24:54,996] SGD, Trial 14 finished with value: 0.10164910446441655
[2024-11-30 10:28:14,299] SGD, Trial 15 finished with value: 0.08528712449953639
[2024-11-30 10:31:09,721] SGD, Trial 16 finished with value: 1.6756540893749068
[2024-11-30 10:34:02,233] SGD, Trial 17 finished with value: 0.7079865082054381
[2024-11-30 10:37:02,694] SGD, Trial 18 finished with value: 2.2719439222842834
[2024-11-30 10:40:42,635] Adam, Trial 19 finished with value: 2.5518510630176325
[2024-11-30 10:44:09,385] Adam, Trial 20 finished with value: 2.3037239017000624
[2024-11-30 10:47:29,178] Adam, Trial 21 finished with value: 2.306733611283029
[2024-11-30 10:51:01,735] Adam, Trial 22 finished with value: 2.310581617294603
[2024-11-30 10:54:52,489] Adam, Trial 23 finished with value: 2.3069041428292634
[2024-11-30 10:58:49,143] Adam, Trial 24 finished with value: 2.2244498107084043
[2024-11-30 11:02:26,881] Adam, Trial 25 finished with value: 1.0279179249599482
[2024-11-30 11:06:05,688] Adam, Trial 26 finished with value: 0.9760696166639875
[2024-11-30 11:09:31,878] Adam, Trial 27 finished with value: 2.3113621389789945
[2024-11-30 11:13:14,979] Adam, Trial 28 finished with value: 0.12780693651162078
[2024-11-30 11:16:30,758] Adam, Trial 29 finished with value: 0.6059602153529028
[2024-11-30 11:20:16,410] Adam, Trial 30 finished with value: 1.9570112562483284
[2024-11-30 11:23:37,967] Adam, Trial 31 finished with value: 2.321358673132149
[2024-11-30 11:27:01,902] Adam, Trial 32 finished with value: 1.875375982302769
[2024-11-30 11:30:19,217] Adam, Trial 33 finished with value: 0.30279087795816517
[2024-11-30 11:32:46,481] Adam, Trial 34 finished with value: 2.309639149904251
[2024-11-30 11:35:32,084] Adam, Trial 35 finished with value: 1.6503017465020442
[2024-11-30 11:38:04,084] Adam, Trial 36 finished with value: 0.0874083856131584
[2024-11-30 11:41:10,063] Adam, Trial 37 finished with value: 1.9705374089016277
[2024-11-30 11:43:56,076] Adam, Trial 38 finished with value: 0.4170738253909757
[2024-11-30 11:46:43,765] SGD_Momentum, Trial 39 finished with value: 1.1987183371167274
[2024-11-30 11:49:33,666] Adam, Trial 40 finished with value: 0.10884523500278646
[2024-11-30 11:52:16,780] Adam, Trial 41 finished with value: 2.116494870185852
[2024-11-30 11:54:59,137] Adam, Trial 42 finished with value: 1.8840191155672072
[2024-11-30 11:57:49,410] Adam, Trial 43 finished with value: 1.7956673681735993
[2024-11-30 12:00:31,215] Adam, Trial 44 finished with value: 2.307624560594559
[2024-11-30 12:02:51,208] SGD_Momentum, Trial 45 finished with value: 0.0586016126375398
[2024-11-30 12:05:55,404] Adam, Trial 46 finished with value: 2.3038725215158644
[2024-11-30 12:08:27,380] Adam, Trial 47 finished with value: 0.2562949486076832
[2024-11-30 12:11:17,100] SGD_Momentum, Trial 48 finished with value: 0.4545102681323981
[2024-11-30 12:14:26,571] Adam, Trial 49 finished with value: 2.0264122744274746
[2024-11-30 12:17:12,690] Adam, Trial 50 finished with value: 0.3470787964997035
[2024-11-30 12:19:53,261] Adam, Trial 51 finished with value: 2.3021456956863404
[2024-11-30 12:40:23,405] Adam, Trial 52 finished with value: 0.07341132035071496
[2024-11-30 12:43:14,644] Adam, Trial 53 finished with value: 2.305674558877945
[2024-11-30 12:46:05,611] Adam, Trial 54 finished with value: 0.09016235875554628
[2024-11-30 12:48:57,885] Adam, Trial 55 finished with value: 2.3030604481697083
[2024-11-30 12:52:23,693] Adam, Trial 56 finished with value: 2.311094335689666
[2024-11-30 12:55:30,586] SGD_Momentum, Trial 57 finished with value: 0.062693273466489
[2024-11-30 12:59:23,400] Adam, Trial 58 finished with value: 2.302804113193682
[2024-11-30 13:02:45,890] Adam, Trial 59 finished with value: 2.382305532504039
[2024-11-30 13:20:55,191] Adam, Trial 60 finished with value: 2.306210478399969
[2024-11-30 13:23:57,595] Adam, Trial 61 finished with value: 2.3107711038771708
[2024-11-30 13:27:04,425] Adam, Trial 62 finished with value: 2.304671487990458
[2024-11-30 13:30:13,841] Adam, Trial 63 finished with value: 1.8423427388926221
[2024-11-30 13:32:39,031] Adam, Trial 64 finished with value: 2.31472963436394
[2024-11-30 13:34:55,447] SGD, Trial 65 finished with value: 0.07938273875269881
[2024-11-30 13:37:23,967] Adam, Trial 66 finished with value: 1.9807407066320917
[2024-11-30 13:40:02,707] Adam, Trial 67 finished with value: 1.8905022607487478
[2024-11-30 13:42:39,971] Adam, Trial 68 finished with value: 1.9636067713901495
[2024-11-30 13:45:27,714] Adam, Trial 69 finished with value: 0.2610224584090838
[2024-11-30 13:47:47,866] SGD, Trial 70 finished with value: 0.09142431012381316
[2024-11-30 13:50:37,086] Adam, Trial 71 finished with value: 2.309432385074105
[2024-11-30 13:53:34,907] Adam, Trial 72 finished with value: 2.307639750705403
[2024-11-30 13:56:17,014] Adam, Trial 73 finished with value: 2.303058118577216
[2024-11-30 13:59:00,989] Adam, Trial 74 finished with value: 2.30636233736755
[2024-11-30 14:01:43,394] Adam, Trial 75 finished with value: 0.6559529933769992
[2024-11-30 14:04:18,384] Adam, Trial 76 finished with value: 0.10827223565481355
[2024-11-30 14:07:11,471] Adam, Trial 77 finished with value: 2.3079185015077046
[2024-11-30 14:09:57,689] SGD_Momentum, Trial 78 finished with value: 0.11004181075884978
[2024-11-30 14:13:11,221] Adam, Trial 79 finished with value: 2.3035893242829926
[2024-11-30 14:15:52,242] Adam, Trial 80 finished with value: 2.2703050367391793
[2024-11-30 14:18:38,342] Adam, Trial 81 finished with value: 2.3080965105895026
[2024-11-30 14:22:56,462] Adam, Trial 82 finished with value: 1.860061889962305
[2024-11-30 14:43:28,765] Adam, Trial 83 finished with value: 2.3118731823696455
[2024-11-30 15:19:58,297] Adam, Trial 84 finished with value: 1.9372211702310356
[2024-11-30 15:56:26,819] Adam, Trial 85 finished with value: 2.3080685746138263
[2024-11-30 16:39:25,398] Adam, Trial 86 finished with value: 0.8396726091196582
[2024-11-30 17:13:52,757] SGD, Trial 87 finished with value: 0.06348335395967783
[2024-11-30 17:17:45,355] Adam, Trial 88 finished with value: 2.322374896638712
[2024-11-30 17:40:16,824] Adam, Trial 89 finished with value: 2.306306702316187
[2024-11-30 18:14:51,274] Adam, Trial 90 finished with value: 2.313531807273816
[2024-11-30 18:52:46,777] Adam, Trial 91 finished with value: 2.307214056610302
[2024-11-30 19:40:43,192] Adam, Trial 92 finished with value: 2.3060083510769402
[2024-11-30 20:15:52,653] Adam, Trial 93 finished with value: 2.3046504494490896
[2024-11-30 20:35:43,703] Adam, Trial 94 finished with value: 2.3116736715766275
[2024-11-30 21:12:23,276] Adam, Trial 95 finished with value: 0.09191625547130318
[2024-11-30 21:45:06,413] SGD_Momentum, Trial 96 finished with value: 2.2079512951480353
[2024-11-30 22:28:10,431] Adam, Trial 97 finished with value: 2.3067015978940733
[2024-11-30 23:00:05,912] Adam, Trial 98 finished with value: 0.07332975812370345
[2024-11-30 23:03:38,982] Adam, Trial 99 finished with value: 2.306291341781616



[2024-11-30 23:03:38,986] Best parameters: {'optimizer': 'Adam', 'adam_lr': 0.04494260367351622, 'input_size': 784, 'num_layers': 3, 'hidden_size_0': 256, 'hidden_size_1': 256, 'hidden_size_2': 256, 'num_classes': 10, 'batch_size': 64, 'dropout_rate': 0.1} with optimizer: Adam

Best trial for SGD:
[2024-11-30 23:03:38,987] Trial 87 with value: 0.06348335395967783 and params: {'optimizer': 'SGD', 'sgd_lr': 0.011667030131725665, 'input_size': 784, 'num_layers': 3, 'hidden_size_0': 256, 'hidden_size_1': 256, 'hidden_size_2': 256, 'num_classes': 10, 'batch_size': 64, 'dropout_rate': 0.1}
Best trial for SGD_Momentum:
[2024-11-30 23:03:38,987] Trial 45 with value: 0.0586016126375398 and params: {'optimizer': 'SGD_Momentum', 'sgd_momentum_lr': 0.008005276745626849, 'momentum': 0.8987060343120898, 'input_size': 784, 'num_layers': 2, 'hidden_size_0': 256, 'hidden_size_1': 256, 'num_classes': 10, 'batch_size': 256, 'dropout_rate': 0.2}
Best trial for Adam:
[2024-11-30 23:03:38,987] Trial 98 with value: 0.07332975812370345 and params: {'optimizer': 'Adam', 'adam_lr': 7.85101358317508e-05, 'input_size': 784, 'num_layers': 3, 'hidden_size_0': 256, 'hidden_size_1': 128, 'hidden_size_2': 128, 'num_classes': 10, 'batch_size': 64, 'dropout_rate': 0.2}
